# Baseline
         502204924 function calls (502204785 primitive calls) in 215.464 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:1286(value)
        1    0.000    0.000    0.000    0.000 {built-in method sys.setrecursionlimit}
        1    0.000    0.000    0.000    0.000 case.py:34(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:335(_OrderedChainMap)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 case.py:39(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)

# Remove hash from the enum
         745724039 function calls (745723900 primitive calls) in 281.887 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     17/1    0.000    0.000  281.887  281.887 {built-in method builtins.exec}
        1    0.000    0.000  281.887  281.887 extended.py:1(<module>)
        1    0.004    0.004  281.875  281.875 extended.py:180(entry_func)
        1    0.386    0.386  281.867  281.867 extended.py:151(walk_all)
      153   58.698    0.384  281.423    1.839 extended.py:94(walk_path_dijstra)
 13012848   52.180    0.000  119.929    0.000 extended.py:77(possible_moves)
121759552   47.970    0.000  103.636    0.000 extended.py:23(__hash__)
121759553   34.516    0.000   44.637    0.000 enum.py:202(__get__)
 27826898   32.510    0.000   32.758    0.000 {built-in method _heapq.heappop}
 79878290   11.109    0.000   11.109    0.000 extended.py:64(get_mat)
121759552   11.030    0.000   11.030    0.000 {built-in method builtins.hash}
121759553   10.120    0.000   10.120    0.000 enum.py:1286(value)
 52051392    8.017    0.000    8.017    0.000 extended.py:61(add_pos)
 27826745    7.006    0.000    7.016    0.000 {built-in method _heapq.heappush}
 27834509    4.185    0.000    4.185    0.000 {method 'append' of 'list' objects}
27830695/27830688    3.849    0.000    3.849    0.000 {built-in method builtins.len}
  2413078    0.258    0.000    0.258    0.000 extended.py:20(__lt__)
        6    0.004    0.001    0.052    0.009 extended.py:122(get_path)
        6    0.028    0.005    0.028    0.005 extended.py:113(remove_orient_seen)
     17/1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap>:1349(_find_and_load)
     17/1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     17/1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap>:911(_load_unlocked)
     16/1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap_external>:993(exec_module)
     36/2    0.000    0.000    0.011    0.005 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.011    0.011 __init__.py:1(<module>)
        1    0.000    0.000    0.004    0.004 main.py:1(<module>)
